oee_id,asset_id,shift_id,availability,performance,quality_rate,oee,planned_hours,actual_hours,parts_produced,parts_scrapped
54680164-fe5d-4510-943e-5155b552edb0,WC-01,2026-03-01-M,0.990,0.931,0.969,,7.50,7.50,100,2
63c53f6c-5a2f-400a-a368-e6b6948fa559,WC-02,2026-03-01-M,0.886,0.855,0.959,,7.50,7.50,66,0
f16f0c12-3420-465e-802d-3b1bf13daefe,WC-03,2026-03-01-M,0.944,0.944,0.963,,7.50,7.50,114,1
4d9155d8-cba5-4f7c-a814-733f704bc686,WC-01,2026-03-01-A,0.932,0.922,0.979,,7.50,7.50,100,1
510a126f-7d50-436f-9693-99f0613891b8,WC-02,2026-03-01-A,0.846,0.892,0.973,,7.50,7.50,93,3
693d750c-b7e7-42b2-bbc3-27327a9d1fa0,WC-03,2026-03-01-A,0.941,0.920,0.965,,7.50,7.50,110,0
33d47154-3a33-4ecc-9072-355146cbaa9e,WC-01,2026-03-01-N,0.927,0.890,0.975,,7.50,7.50,90,2
906717bf-b9b1-489d-b697-1cb018c7f300,WC-02,2026-03-01-N,0.853,0.933,0.945,,7.50,7.50,96,4
fee3807e-ea0f-4fff-b4ce-65c98096b2f9,WC-03,2026-03-01-N,0.943,0.929,0.972,,7.50,7.50,111,1
a944e1f2-bfdc-463e-84c5-bddadd6989ea,WC-01,2026-03-02-M,0.865,0.935,0.984,,7.50,7.50,113,3
88857eff-87c2-4685-b7a2-efc0e7d7ebab,WC-02,2026-03-02-M,0.876,0.910,0.939,,7.50,7.50,70,6
8e5d54f6-78f7-4621-8f13-7801fc92b7d1,WC-03,2026-03-02-M,0.937,0.909,0.975,,7.50,7.50,120,0
cc9b120d-354d-4351-8e4c-fc3180d04b33,WC-01,2026-03-02-A,0.942,0.911,0.959,,7.50,7.50,91,1
cd3473c6-c7d9-4d14-9956-e27cae5a0180,WC-02,2026-03-02-A,0.871,0.881,0.939,,7.50,7.50,83,3
869c6c0c-a41b-48b1-a3bc-ee28cbd570d8,WC-03,2026-03-02-A,0.932,0.935,0.977,,7.50,7.50,116,2
fe3bd468-c879-47f9-9d78-ca7170dd045f,WC-01,2026-03-02-N,0.891,0.893,0.970,,7.50,7.50,97,1
48b5c34c-ad0a-4842-bdd8-525e0aac1e1c,WC-02,2026-03-02-N,0.840,0.900,0.986,,7.50,7.50,69,0
7b2a1b45-0f66-4ab4-9984-b97129bb67b1,WC-03,2026-03-02-N,0.964,0.903,0.971,,7.50,7.50,105,2
3f10e21f-7df1-448c-9fde-633885f072a1,WC-01,2026-03-03-M,0.946,0.902,0.964,,7.50,7.50,91,0
d3508854-942d-402e-aa70-c5b84768c000,WC-02,2026-03-03-M,0.890,0.845,0.935,,7.50,7.50,72,1
1f66c039-30a2-4cf6-a4aa-d8b91e8714da,WC-03,2026-03-03-M,0.961,0.935,0.964,,7.50,7.50,100,2
6fa5e882-4ed4-4299-921c-3e5583a865aa,WC-01,2026-03-03-A,0.971,0.886,0.976,,7.50,7.50,98,1
9107b9a2-4730-4097-9906-ccd3d5a84918,WC-02,2026-03-03-A,0.892,0.904,0.936,,7.50,7.50,82,6
a32ce41c-d50b-4481-a996-d04160bc2734,WC-03,2026-03-03-A,0.969,0.926,0.971,,7.50,7.50,110,1
3dfbf916-c2c8-493a-808d-3074de29240d,WC-01,2026-03-03-N,0.923,0.906,0.995,,7.50,7.50,96,1
60a05bd5-41c3-47d0-8d46-d09f2f368090,WC-02,2026-03-03-N,0.893,0.844,0.958,,7.50,7.50,95,3
cbf99fff-8392-45f8-93b5-c88a19b768cf,WC-03,2026-03-03-N,0.948,0.927,0.969,,7.50,7.50,114,0
276e86bd-4804-4114-90ec-e5ebb98e7ea3,WC-01,2026-03-04-M,0.952,0.936,0.957,,7.50,7.50,91,1
4f7c40df-a79c-4df4-bb77-2385dddb6829,WC-02,2026-03-04-M,0.904,0.867,0.941,,7.50,7.50,68,5
41263068-d525-41d6-85fc-01a21b701e99,WC-03,2026-03-04-M,0.941,0.962,0.973,,7.50,7.50,116,0
cd50e4d4-9953-490f-baa7-c41593be947a,WC-01,2026-03-04-A,0.925,0.862,0.991,,7.50,7.50,103,1
a0bae74f-99ad-4f15-9b8f-bad83266f177,WC-02,2026-03-04-A,0.840,0.923,0.961,,7.50,7.50,91,5
56495139-0728-4f15-84fb-e517704fd66d,WC-03,2026-03-04-A,0.971,0.923,0.997,,7.50,7.50,95,0
f8954ba6-fab9-438f-ac43-3f4cac9d2d0e,WC-01,2026-03-04-N,0.974,0.900,0.986,,7.50,7.50,96,2
0f9d07d4-4e34-4abd-861d-49402487bbbc,WC-02,2026-03-04-N,0.877,0.900,0.973,,7.50,7.50,77,5
3db9ab76-5d32-4250-87da-34a2444f715c,WC-03,2026-03-04-N,0.954,0.918,0.979,,7.50,7.50,106,1
93068834-ed1b-4f6d-ad55-9c7539f2e643,WC-01,2026-03-05-M,0.940,0.907,0.975,,7.50,7.50,98,2
9a81d5c4-3da9-49e8-9238-3d400bc072b0,WC-02,2026-03-05-M,0.859,0.832,0.921,,7.50,7.50,82,3
a9c16833-0180-46eb-94c4-0f2734fdf923,WC-03,2026-03-05-M,0.966,0.909,0.989,,7.50,7.50,119,1
67ee6f6d-b2b9-4ca8-8d37-e319ddfdc722,WC-01,2026-03-05-A,0.901,0.883,0.953,,7.50,7.50,97,1
5f3b362a-327a-405a-90f2-b62368860465,WC-02,2026-03-05-A,0.887,0.865,0.943,,7.50,7.50,68,0
e92bdba1-f83c-4f68-8644-e17baae47a59,WC-03,2026-03-05-A,0.959,0.935,0.997,,7.50,7.50,114,2
a9f96dd6-6a2e-48e4-b6d8-2fbddd75c8d4,WC-01,2026-03-05-N,1.017,0.915,0.989,,7.50,7.50,97,3
b36f2dce-a4e8-4230-803d-88a3371c3173,WC-02,2026-03-05-N,0.844,0.842,0.906,,7.50,7.50,74,4
ed25c59a-34a5-4eaf-8f1e-e7d421a80c3e,WC-03,2026-03-05-N,0.957,0.919,1.000,,7.50,7.50,101,2
d6c76d5c-bfc4-4f59-83a9-69f78922b04d,WC-01,2026-03-06-M,0.924,0.895,0.961,,7.50,7.50,95,1
5f7f85c6-51fa-4ef5-b574-3bb569d0dbc1,WC-02,2026-03-06-M,0.895,0.836,1.018,,7.50,7.50,84,4
089a5a83-0e0b-4c9a-b88c-32d88f900f57,WC-03,2026-03-06-M,0.948,0.946,0.983,,7.50,7.50,117,0
89836018-35fa-4795-a1a7-553fbc9f80a5,WC-01,2026-03-06-A,0.918,0.914,0.973,,7.50,7.50,94,0
fbd87bbd-4ce4-4d96-91ce-b75284b04c3d,WC-02,2026-03-06-A,0.894,0.876,0.954,,7.50,7.50,66,5
e182afe7-a349-45b3-abe5-0817ea0064f1,WC-03,2026-03-06-A,0.941,0.920,0.977,,7.50,7.50,104,0
63e52517-6637-4107-8a87-5e07247230b1,WC-01,2026-03-06-N,0.921,0.901,0.966,,7.50,7.50,89,2
5936978f-1f36-472c-a0bd-4a474dab17bd,WC-02,2026-03-06-N,0.858,0.880,0.951,,7.50,7.50,83,5
074aeff8-9a64-41dd-842d-1290cc54b860,WC-03,2026-03-06-N,0.936,0.954,0.985,,7.50,7.50,100,1
8189a17a-20da-499e-99b4-945cb6c590a0,WC-01,2026-03-07-M,0.910,0.900,0.960,,7.50,7.50,98,1
