quality_id,asset_id,part_id,shift_id,recorded_at,cpk,cp,sample_size,scrap_qty,rework_qty,notes
ee3ef981-efe5-4843-95fd-b181f43033ef,WC-01,P-1099,2026-02-24-M,2026-03-12 09:26:00.082174-04,1.504,1.524,25,0,0,
ec0bb2e9-49e4-492f-a934-70751eadb225,WC-02,P-1099,2026-02-24-M,2026-03-12 09:26:00.082174-04,1.400,1.439,20,0,0,
062ea62a-a7e7-412f-9c2e-6a4f85f258f7,WC-01,P-1001,2026-02-24-M,2026-03-12 09:26:00.082174-04,1.496,1.683,30,0,0,
56effcd0-b21b-41c6-bacf-827c0f8ace6c,WC-02,P-2001,2026-02-24-M,2026-03-12 09:26:00.082174-04,1.381,1.487,28,1,0,
0f5a0892-8c36-4361-82bb-c74fa7fc8a3d,WC-03,P-3001,2026-02-24-M,2026-03-12 09:26:00.082174-04,1.683,1.622,40,0,0,
2c0688f2-4ff9-401c-9052-492469f3c43f,WC-01,P-1099,2026-02-25-M,2026-03-12 09:26:00.082174-04,1.610,1.778,25,0,0,
151c0e12-4cfa-4c14-9679-216d31f4ed7b,WC-02,P-1099,2026-02-25-M,2026-03-12 09:26:00.082174-04,1.358,1.474,20,1,0,
50be8c65-a857-49b4-bf93-0cb65192836b,WC-01,P-1001,2026-02-25-M,2026-03-12 09:26:00.082174-04,1.500,1.637,30,0,0,
25789028-f852-40c4-98f6-f2127bd5f4ea,WC-02,P-2001,2026-02-25-M,2026-03-12 09:26:00.082174-04,1.487,1.643,28,1,0,
1c6d2eee-9aae-4871-87f3-234bb0aca391,WC-03,P-3001,2026-02-25-M,2026-03-12 09:26:00.082174-04,1.534,1.710,40,0,0,
e8cd5a69-b91c-46df-99b8-46d4656d45c3,WC-01,P-1099,2026-02-26-M,2026-03-12 09:26:00.082174-04,1.649,1.593,25,0,0,
7a18fd70-e063-412c-a5ac-a0a8b298669d,WC-02,P-1099,2026-02-26-M,2026-03-12 09:26:00.082174-04,1.299,1.564,20,1,0,
8d1f5cec-397d-44c8-bc06-979c1e6c7dce,WC-01,P-1001,2026-02-26-M,2026-03-12 09:26:00.082174-04,1.597,1.836,30,0,0,
b303b390-41c8-4f47-b344-614cd974680b,WC-02,P-2001,2026-02-26-M,2026-03-12 09:26:00.082174-04,1.405,1.558,28,1,0,
7d158758-31ee-46ab-849e-7930ff1576d0,WC-03,P-3001,2026-02-26-M,2026-03-12 09:26:00.082174-04,1.535,1.692,40,0,0,
c0f53907-a967-43b1-957d-ab0948597717,WC-01,P-1099,2026-02-27-M,2026-03-12 09:26:00.082174-04,1.475,1.727,25,0,0,
430c9f44-8222-45df-b41f-6912fe4ba56e,WC-02,P-1099,2026-02-27-M,2026-03-12 09:26:00.082174-04,1.255,1.412,20,0,0,
8818e1e7-5ec2-4996-b3c0-0dc4eaf1541a,WC-01,P-1001,2026-02-27-M,2026-03-12 09:26:00.082174-04,1.649,1.604,30,0,0,
1df3824a-c72f-490f-bc5b-35641723f245,WC-02,P-2001,2026-02-27-M,2026-03-12 09:26:00.082174-04,1.445,1.653,28,1,0,
b864f06a-e40c-486a-afa2-df04000dbc29,WC-03,P-3001,2026-02-27-M,2026-03-12 09:26:00.082174-04,1.492,1.641,40,0,0,
01eed88a-fbfe-4c76-a703-83fa179b3d74,WC-01,P-1099,2026-02-28-M,2026-03-12 09:26:00.082174-04,1.514,1.694,25,0,0,
e5b0efcf-7fb2-4a45-86c5-e3b0abddafa4,WC-02,P-1099,2026-02-28-M,2026-03-12 09:26:00.082174-04,1.340,1.475,20,0,0,
7cf441e8-8b0a-483d-a074-e2fc654eefa2,WC-01,P-1001,2026-02-28-M,2026-03-12 09:26:00.082174-04,1.559,1.693,30,0,0,
d9c41642-1738-4fb9-9ff8-0ca98a456e34,WC-02,P-2001,2026-02-28-M,2026-03-12 09:26:00.082174-04,1.430,1.592,28,1,0,
64ad0e01-9f15-472f-b7e8-5c447c9be562,WC-03,P-3001,2026-02-28-M,2026-03-12 09:26:00.082174-04,1.509,1.633,40,0,0,
b36a1325-13f2-4f8d-9732-54ee1b1d5962,WC-01,P-1099,2026-03-01-M,2026-03-12 09:26:00.082174-04,1.482,1.577,25,0,0,
8bbc7274-a96a-46e0-8272-cf1a9dc821d2,WC-02,P-1099,2026-03-01-M,2026-03-12 09:26:00.082174-04,1.325,1.508,20,1,0,
70343b96-2e1f-403e-90ae-a9cdff52981a,WC-01,P-1001,2026-03-01-M,2026-03-12 09:26:00.082174-04,1.550,1.676,30,0,0,
2ef2ed2a-84b5-4b02-a49d-a9615d1c93c1,WC-02,P-2001,2026-03-01-M,2026-03-12 09:26:00.082174-04,1.448,1.596,28,1,0,
e2ad9fdf-bb68-4d05-bff2-45b3fe2f103e,WC-03,P-3001,2026-03-01-M,2026-03-12 09:26:00.082174-04,1.530,1.594,40,0,0,
afe69faa-feba-4774-a70b-f23c4313505b,WC-01,P-1099,2026-03-02-M,2026-03-12 09:26:00.082174-04,1.505,1.566,25,0,0,
5c19b0fa-dc3c-4c82-8b29-d4037180e8d6,WC-02,P-1099,2026-03-02-M,2026-03-12 09:26:00.082174-04,1.361,1.325,20,0,0,
189ef956-4e74-49b0-a3cf-3e254821faa1,WC-01,P-1001,2026-03-02-M,2026-03-12 09:26:00.082174-04,1.594,1.703,30,0,0,
8ef2adf5-93cd-465f-b142-751315415a12,WC-02,P-2001,2026-03-02-M,2026-03-12 09:26:00.082174-04,1.535,1.584,28,1,0,
b1414c20-46c1-4afe-8773-6b71e7f904e1,WC-03,P-3001,2026-03-02-M,2026-03-12 09:26:00.082174-04,1.612,1.688,40,0,0,
b04cd13d-a7dd-4bd9-9073-e926a228f698,WC-01,P-1099,2026-03-03-M,2026-03-12 09:26:00.082174-04,1.473,1.693,25,0,0,
7cb5e9dc-200e-48c5-9109-a0b75d05638f,WC-02,P-1099,2026-03-03-M,2026-03-12 09:26:00.082174-04,1.349,1.394,20,0,0,
b9546a43-fa44-4a4b-9d1d-5abffac51c10,WC-01,P-1001,2026-03-03-M,2026-03-12 09:26:00.082174-04,1.760,1.683,30,0,0,
