reading_id,asset_id,recorded_at,value_mm_s,threshold
734b24dc-4a8f-4ef2-bf35-bd023cc8f989,WC-01,2026-03-09 09:26:00.182697-04,1.694,4.500
245108d8-5a53-439d-9455-43612d82c05b,WC-02,2026-03-09 09:26:00.182697-04,4.251,7.700
e9f0507a-b221-49d9-a253-b2a701da8c6f,WC-03,2026-03-09 09:26:00.182697-04,1.191,5.000
e7f661bd-ac0f-40d5-a5b5-6052883fdd19,WC-01,2026-03-09 10:26:00.182697-04,1.928,4.500
e50180ba-de1b-46da-b6a8-2c46102555bb,WC-02,2026-03-09 10:26:00.182697-04,4.551,7.700
e3c69b76-d641-43da-9de2-78376e54c300,WC-03,2026-03-09 10:26:00.182697-04,1.267,5.000
5d49bd34-fd1e-4138-a126-61d5d0418629,WC-01,2026-03-09 11:26:00.182697-04,1.813,4.500
00080310-2ab3-4abc-a595-6363d4db3c36,WC-02,2026-03-09 11:26:00.182697-04,4.533,7.700
30fa2ab8-0cb9-4885-956c-3f38917781b2,WC-03,2026-03-09 11:26:00.182697-04,1.175,5.000
e8906846-5884-4e4a-9d13-50a69d89256b,WC-01,2026-03-09 12:26:00.182697-04,2.027,4.500
80fcc050-e9c0-4a7d-9c13-598a0c321931,WC-02,2026-03-09 12:26:00.182697-04,4.528,7.700
aa1b0e37-0967-4f33-89ff-dfe586ab5364,WC-03,2026-03-09 12:26:00.182697-04,1.183,5.000
bf0c1ca1-5daf-46bb-8f2a-52b33872567d,WC-01,2026-03-09 13:26:00.182697-04,2.037,4.500
3aaba50d-2acf-484e-a25c-9633076b8cb3,WC-02,2026-03-09 13:26:00.182697-04,4.503,7.700
61615f72-0340-42f7-9b03-59ff6d99a244,WC-03,2026-03-09 13:26:00.182697-04,1.244,5.000
71097ff0-afef-47cf-b65f-792c62310de5,WC-01,2026-03-09 14:26:00.182697-04,2.213,4.500
7c97f39a-d8b1-4f4a-a956-3c263df25e7b,WC-02,2026-03-09 14:26:00.182697-04,4.523,7.700
de24e009-f6a5-4df6-8b45-53b4b191eb06,WC-03,2026-03-09 14:26:00.182697-04,1.275,5.000
93df8235-bd10-4601-8b9f-073e59e1bd36,WC-01,2026-03-09 15:26:00.182697-04,2.289,4.500
c2c67745-2d89-4e2c-ae86-fccd78959831,WC-02,2026-03-09 15:26:00.182697-04,4.511,7.700
1709e145-98b1-4d8a-982e-3af99564ee46,WC-03,2026-03-09 15:26:00.182697-04,1.058,5.000
7f96734b-ae78-43f1-bd34-07e3164fbbc0,WC-01,2026-03-09 16:26:00.182697-04,2.225,4.500
f6c28176-12f1-40d1-8b11-506b5134baff,WC-02,2026-03-09 16:26:00.182697-04,4.419,7.700
c4afbba1-8c90-4906-84a9-79c1b6d46a45,WC-03,2026-03-09 16:26:00.182697-04,1.213,5.000
e0155a39-40e2-4eab-a645-cd2983a6d81a,WC-01,2026-03-09 17:26:00.182697-04,2.221,4.500
d9f4c986-477b-49d5-bf4b-5b9ae6aeeea4,WC-02,2026-03-09 17:26:00.182697-04,4.818,7.700
d3e2057b-bd8b-497f-aa4f-28fd11d5ef17,WC-03,2026-03-09 17:26:00.182697-04,1.160,5.000
159f0ca9-435e-485b-bada-3992919a02be,WC-01,2026-03-09 18:26:00.182697-04,1.807,4.500
322050a6-c5a5-469e-9be0-c814bb647d34,WC-02,2026-03-09 18:26:00.182697-04,4.487,7.700
ff558696-6efe-41dc-a15a-dd5cf8dc1627,WC-03,2026-03-09 18:26:00.182697-04,1.166,5.000
